City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Mahebourg,MU,-20.4081,57.7,72.25,81,68,3.89,broken clouds
287,Ahipara,NZ,-35.1667,173.1667,66.34,70,100,12.97,light rain
288,Lazaro Cardenas,MX,17.9583,-102.2,80.51,80,3,3.2,clear sky
289,Maragogi,BR,-9.0122,-35.2225,75.52,72,91,7.9,overcast clouds
290,Phulabani,IN,20.4667,84.2333,68.45,91,91,2.35,overcast clouds
291,Navirai,BR,-23.065,-54.1906,74.1,84,47,5.55,scattered clouds
292,Byron Bay,AU,-28.65,153.6167,83.88,67,58,14.03,broken clouds
293,Yatou,CN,37.15,122.3833,60.19,66,15,4.59,few clouds
294,Port-Gentil,GA,-0.7193,8.7815,80.56,89,75,13.8,thunderstorm
295,Kibala,TD,9.1104,18.3463,76.8,62,85,4.36,overcast clouds
296,Sandpoint,US,48.2766,-116.5533,48.94,86,1,1.01,clear sky
297,Muscat,OM,23.6139,58.5922,79.29,52,0,2.95,clear sky
298,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.61,88,100,18.1,overcast clouds
299,Mirabad,AF,30.4362,61.8383,62.53,37,20,6.4,few clouds
300,Gat,IL,31.61,34.7642,72.39,74,100,3.67,overcast clouds
301,Tawau,MY,4.2498,117.8871,80.02,83,77,3.22,broken clouds
302,Port Keats,AU,-14.25,129.55,88.57,62,67,7.25,broken clouds
303,Tabriz,IR,38.08,46.2919,53.06,54,90,4.61,overcast clouds
304,Bilma,NE,18.6853,12.9164,79.0,19,12,10.63,few clouds
305,Zhengjiatun,CN,43.5064,123.5064,49.73,73,50,12.1,scattered clouds
306,Kushima,JP,31.4583,131.2333,67.66,62,8,4.74,clear sky
307,Kirakira,SB,-10.4544,161.9205,86.56,69,83,13.4,broken clouds
308,Areka,ET,7.0667,37.7,57.27,42,20,5.86,few clouds
309,Cabo San Lucas,MX,22.8909,-109.9124,84.51,64,2,1.99,clear sky
310,Taitung,TW,22.7583,121.1444,73.67,73,40,4.61,scattered clouds
311,Itarema,BR,-2.9248,-39.9167,78.82,77,42,6.62,scattered clouds
312,Singkang,MY,2.1006,102.7994,76.75,92,65,2.13,broken clouds
313,Grants,US,35.1473,-107.8514,66.43,19,1,3.44,clear sky
314,Yekaterinovka,RU,52.0508,44.3451,36.81,89,22,7.99,few clouds
315,Bud,US,39.447,-86.1758,57.69,96,100,8.39,moderate rain
316,Asfi,MA,32.2994,-9.2372,64.08,82,57,1.97,broken clouds
317,Fairbanks,US,64.8378,-147.7164,20.23,90,97,1.7,overcast clouds
318,Bowen,AU,-20.0167,148.2333,81.52,68,17,9.15,few clouds
319,Tessalit,ML,20.1986,1.0114,81.5,23,88,9.6,overcast clouds
320,Lundazi,ZM,-12.2929,33.1782,64.76,59,40,5.12,scattered clouds
321,Severo-Kurilsk,RU,50.6789,156.125,42.37,84,98,12.24,overcast clouds
322,Meadow Lake,US,34.8014,-106.5436,70.57,28,0,3.6,clear sky
323,Van,TR,38.4924,43.3831,45.1,90,100,3.38,overcast clouds
324,Puro,PH,12.4841,123.3827,81.59,78,29,11.99,scattered clouds
325,Kargil,IN,34.5667,76.1,28.74,58,3,0.81,clear sky
326,Tilichiki,RU,60.4667,166.1,27.88,96,100,8.57,light snow
327,Honiara,SB,-9.4333,159.95,88.75,63,72,10.83,broken clouds
328,Aksu,CN,41.1231,80.2644,48.33,34,97,3.69,overcast clouds
329,Kraskino,RU,42.7114,130.7794,49.44,74,100,3.15,overcast clouds
330,Pisco,PE,-13.7,-76.2167,61.02,92,96,4.5,overcast clouds
331,Nakamura,JP,32.9833,132.9333,64.22,68,85,3.49,overcast clouds
332,Shipunovo,RU,52.1582,82.2173,37.51,48,76,13.0,broken clouds
333,Luderitz,NA,-26.6481,15.1594,59.49,79,0,8.19,clear sky
334,Winchester,GB,51.0651,-1.3187,56.73,91,62,1.99,broken clouds
335,Telimele,GN,10.9167,-13.3333,69.06,95,91,0.96,light rain
336,Benghazi,LY,32.1167,20.0667,69.93,72,8,9.6,clear sky
337,Lumeje,AO,-11.55,20.7833,66.78,90,75,6.76,broken clouds
338,Shingu,JP,33.7333,135.9833,63.59,65,99,1.97,overcast clouds
339,Urumqi,CN,43.801,87.6005,43.75,57,0,4.47,clear sky
340,Guerrero Negro,MX,27.9769,-114.0611,74.19,50,0,12.06,clear sky
341,Bashmakovo,RU,53.2133,43.0342,40.51,79,71,11.07,broken clouds
342,Iqaluit,CA,63.7506,-68.5145,38.7,64,100,10.0,overcast clouds
343,Antipovka,RU,49.8299,45.3122,38.68,84,6,3.11,clear sky
344,Aklavik,CA,68.2191,-135.0107,16.79,97,98,1.97,overcast clouds
